id	kind	source	statement	depends_on
M-LAW-053	Law	plugin/keel/effects.py:68	EFFECTS[report_after_change]: report_pass on an act that ran after a file changed since the last spawn	
M-LAW-054	Law	plugin/keel/effects.py:69	EFFECTS[report_listing]: report_pids, and the output holds no segment of the act's own command: a listing that excluded the observer	
M-LAW-055	Law	plugin/keel/effects.py:70	EFFECTS[observed_read]: the host Read tool returned Keel's own worktree measurement (observed.json), as written	
M-LAW-056	Law	plugin/keel/effects.py:71	EFFECTS[remote_read]: the host Read tool returned Keel's own remote measurement (remote.json), with tips present	
M-LAW-057	Law	proofs/Coverings.v:198-203	A miss means opposite things on the two sides: on the OCCASION side a miss raises no obligation, so the costly act proceeds with no guard at all -- expensive and silent; on the GUARD side a miss fails to discharge, so the clause denies an act that was in fact guarded -- cheap, and the interruption is visible and self-correcting.	M-COV-027
M-LAW-058	Law	proofs/Coverings.v:205-209	"An occasion must therefore be nominal (Theorem 3: before the act, the name is the only thing that distinguishes it) and its vocabulary is load-bearing; a GUARD need not be, since a fact about the trace such as ""the suite ran and passed"" is readable as a status and a count with no vocabulary at all -- Theorem 4 already says such a covering is name-agnostic."	M-COV-022,M-COV-023
M-LAW-059	Law	proofs/Coverings.v:62-64	Theorem 1's consequence: a textual covering that fires at all is defeated by a mention for every command it accepts, not merely the strings someone thought to try -- no counterexample is exhibited because none is needed.	M-COV-015
M-LAW-060	Law	proofs/Coverings.v:142-149	"Theorem 4's consequence: C09 (""the checker's own pid is excluded from what it lists"") is a topological fact and C08 (""the exit status was non-zero"") is an effect fact; both were arrived at as one-off fixes, and this theorem says they are the general form of what survives -- guards read the shape of what ran, or its effects."	M-COV-023,M-COV-025
M-LAW-061	Law	proofs/Coverings.v:157-163	Theorem 8's consequence: an effect covering separates two acts with the same segments -- byte-identical commands -- whenever what they did differs; the command string is not the input, the world is.	M-COV-024,M-COV-025,M-COV-026
M-LAW-062	Law	proofs/Coverings.v:245-250	"Theorem 7's consequence: the evasion set is not merely bounded, it is EMPTY -- contrast Theorem 1, where it is unbounded -- which is the whole argument for preferring the positive form; ""being forced to state the number bypasses dishonesty"", proved."	M-COV-033,M-COV-015
M-LAW-063	Law	proofs/Coverings.v:114-126	"Theorem 3's consequence: a nominal covering with any name in and any name out is never name-agnostic; the boundary is exact and this is stated as ""Not hard: absent"", not merely difficult."	M-COV-022
M-LAW-064	Law	README.md:90-96	A measured scoping limit (2026-08-14, observed, not theorised): a nested claude -p invocation reported the SAME session_id as the session that launched it, with agent_id empty; scope is keyed on (session_id, agent_id), so a nested run shares its parent's ledger and the parent can be blocked at Stop by a demand the child raised.	
M-LAW-065	Law	README.md:86-89	The hash chain detects corruption, not forgery: it detects accidental corruption, a truncated write, bit-rot; it does NOT detect deliberate forgery -- anyone who can append to the ledger can append a matching hash.	
M-LAW-066	Law	README.md:159-161	The ledger constrains an honest-but-forgetful agent, not a forging one: its hash chain detects altered rows and broken or missing hashes, but not deletion of a valid tail; a writer able to forge rows can recompute hashes.	
M-LAW-067	Law	README.md:162-164	A licence is scoped to its clause and session: one observed guard licenses later matching calls for that clause anywhere in the same session, not just against the same file, branch, or command.	
M-LAW-068	Law	README.md:165-174	A discharge records what the guard act did, never what it was called: a guard is a host tool call or an observed effect of the guard act; where a trace exists the effect is a datum checked against it and a mention pays nothing; where no trace exists the effect is a report shape, and a claim that agrees with the shape is accepted -- the stated bound of a report effect; the loader refuses a guard that names a program (CLAUSE-GUARD-NOMINAL), with no field to argue an exception and no waiver.	
M-LAW-069	Law	README.md:175-180	The first guards are observations of Keel's own measurement: before the first act nothing agnostic separates a push from anything else (Theorem 3), so A01, A02 and A03 are paid by a host Read of observed.json and of remote.json.	
M-LAW-070	Law	README.md:181-187	A guard that is itself a Bash act passes on a commitment and is checked by its effect: before it runs, a Bash call cannot be told from the act it would guard, so under an open demand it passes only with a leading # keel-guard: <clause id> line naming the demand it will pay.	
M-LAW-071	Law	README.md:188-197	No occasion reads a program's name: before the act, the name is the only thing that distinguishes one command from another (Coverings.v, Theorem 3), so an occasion that read it would miss the same act spelled differently, with its guard removed; the loader refuses a nominal occasion (CLAUSE-OCCASION-NOMINAL).	
M-LAW-072	Law	README.md:198-204	An observation is the act's only if it is assigned to it, by one rule: a process is assigned by lineage; the host's connection counter has no lineage and is assigned by the idle gap.	
M-LAW-073	Law	README.md:286-293	U25's occasion is a clean scan report in the call's output, whatever printed it; it is discharged only by a test invocation whose command text contains prefix or distractor, and per the discharge limit above the ledger records that such a command was invoked, not that the regression test exists or passed.	
M-LAW-074	Law	README.md:316-320	proofs/Coverings.v proves, relative to a scanner with two stated properties and with zero axioms: a covering over the raw command text is never mention-immune (Theorem 1); one over a segment's leading program is, provided its vocabulary excludes the quoting program (Theorem 2), and is monotone in that vocabulary (Theorem 5) -- which is why no side of the table is one.	
M-LAW-075	Law	README.md:320-321	A covering over the pipe topology is name-agnostic (Theorem 4).	
M-LAW-076	Law	README.md:321-322	A positive obligation that compares the run's own datum has an empty evasion set (Theorem 7).	
M-LAW-077	Law	README.md:322-323	A covering over what the act did reads no segment, so it is name-agnostic and separates byte-identical commands by their effects (Theorem 8).	
M-LAW-078	Law	README.md:324-325	An ordering enforced backward rejects every trace the inductive violates describes (Theorem 8a).	
M-LAW-079	Law	README.md:79-85	Absence is not a pass: an empty ledger at Stop means nothing was recorded, not that nothing is owed -- NOT-EVALUABLE; a zero-clause load now blocks Stop rather than passing it.	
M-LAW-080	Law	README.md:207-208,215	NOT-EVALUABLE is live: an effect the observer could not measure is NOT-EVALUABLE and the occasion is treated as live, not passed.	
M-LAW-081	Law	plugin/keel/ledger.py:1-4	Demand, discharge and open are one set difference (demanded - discharged); a licence is membership in the second set and nothing else, deliberately not "absent from the first".	
M-LAW-082	Law	README.md:77-78	Obligations are un-windowed within a session: a promise does not expire because an hour passed; events may be windowed for cost, demands never are.	
M-LAW-083	Law	plugin/hooks/dispatch.sh:57-71	Exactly one JSON object reaches the wire: output is captured so a dispatcher that printed a decision and then died cannot have fail_open's object appended after it, putting two objects on the wire.	
M-LAW-084	Law	plugin/keel/wire.py:23	No surrogate code point survives wire: the module's one guarantee.	
M-LAW-085	Law	plugin/keel/journal.py:35-36	The journal is observability, never policy: every entry point swallows everything, because a gate that denied because its logger could not write would be a worse defect than the missing log.	
M-LAW-086	Law	plugin/keel/ledger.py:109-112	The digest is SHA-256 truncated to 16 hex = 64 bits, for both the chain link and derive_id; a collision merges two demands into one licence or forges a chain link at a 64-bit birthday bound.	
M-LAW-087	Law	plugin/keel/dispatch.py:13-18	Fail direction is split: carriage fails OPEN (a wiring fault emits {} and exits 0), a decision that could not be computed fails CLOSED, and an event with no closed wire falls back to carriage.	
M-LAW-088	Law	README.md:127-135	The /compact cut: a bare /compact gets the vendored preserve list, one that already carries instructions is left untouched, and an automatic compaction cannot be instructed so that path only reports it ran unsteered.	
M-LAW-089	Law	plugin/keel/dispatch.py:783-792	A deny's subject is read back out of the rendered prose, last match, so the ledger key and what the agent was told cannot disagree.	
M-LAW-090	Law	README.md:194-197	The opening-move waiver: the three always occasions fire on the same first act, so a call discharging any one of them is progress and is not itself refused by the other two.	
M-LAW-091	Law	plugin/keel/clauses.py:16-21	The construction anchor is one spelling (POINTS.md#[a-z0-9][a-z0-9-]*), read by everything that needs it -- dispatch renders the pointer only when it matches and the test fence asserts the shape it names.	
M-LAW-092	Law	plugin/keel/clauses.py:44-51	An event is either an enforceable clause target or a named-and-justified non-enforcing bookkeeping event; one in neither set is undecided, and the event-surface law goes red rather than defaulting to unenforceable in silence.	
M-LAW-093	Law	plugin/keel/clauses.py:170-180	The probe bound is measured, not assumed: an 8-segment command asks the same read-only probe question 16 times (2N exactly); at the 5000ms per-probe cap that is 80s against a 20s hook timeout, so the hook is canceled and the deny row fails OPEN through the hang.	
M-LAW-094	Law	plugin/keel/clauses.py:639-651	The terminal-clause discriminator: for an ordinary clause the fixtures test the fingerprint, but a terminal clause's fingerprint is always (every Stop is the occasion) so the fixtures must test the guard instead, or the clause is unloadable for the wrong reason.	
M-LAW-095	Law	plugin/keel/clauses.py:878-893	One table, no second place: this is the one clause table the package loads.	
M-LAW-096	Law	plugin/keel/dispatch.py:625-629	STOP_ROUNDS = 3: refusals of ONE ending are bounded, not the ending itself -- one refusal states the debt, a second proves it was read and ignored, a third is the last before the host's own stop-hook cap fails open in silence; exhausted, the ending passes with a fault row and the rows stay OPEN for the next ending.	
M-LAW-097	Law	plugin/keel/ledger.py:257-266	Compaction rewrites the chain: compact drops every row of a session that owes nothing and RE-CHAINS what stays, so every prev/hash downstream of a dropped row changes. A hash recorded before a compaction does not match the same row after one, and no chain value is a stable external identifier.	
M-LAW-098	Law	plugin/keel/ledger.py:295-296	The chain is advisory and UNREAD: verify_chain re-derives the chain and names the first divergent hash, and no shipped path calls it -- its only caller is tests/test_ledger_growth.py. The chain is an invariant that is written, never checked, so no session detects its own corruption.	
M-LAW-099	Law	plugin/keel/clauses.py:501-521	A predicate kind with no shipped user is removed, not carried: a branch no witness input can select is a branch the fixtures cannot grade, so it loads clean forever. kind: tool, kind: nonzero and the unless exclusion list each had zero uses in clauses.json and were removed with their evaluators.	
M-LAW-100	Law	plugin/keel/clauses.py:544-548	CLAUSE-UNLESS-RETIRED: removing an evaluator without refusing its spelling is the SOFT direction -- an ignored unless list WIDENS the match its author declared, from "matches P but not Q" to "matches P", silently. Every retired spelling is therefore refused by name rather than dropped.	
M-LAW-101	Law	plugin/keel/clauses.py:621-636	The occasion side is NARROWER than the guard side: every occasion is always, a host tool enum, or an effect (three), while a guard may also be composed. A composition on the occasion side would be a pre-act attempt to separate two acts, which Theorem 3 says can only be done by name.	
M-COV-049	Definition	proofs/Coverings.v:378-382	Definition any_of / all_of : a list of segment-coverings, keyed by membership rather than by list shape.	M-COV-011
M-COV-050	Theorem	proofs/Coverings.v:384-390	Theorem any_of_name_agnostic: a disjunction of name-agnostic coverings is name-agnostic.	M-COV-049
M-COV-051	Theorem	proofs/Coverings.v:392-398	Theorem all_of_name_agnostic: a conjunction of name-agnostic coverings is name-agnostic.	M-COV-049
M-COV-052	Theorem	proofs/Coverings.v:406-411	Theorem host_enum_immune: a covering reading only the host's tool_name field is mention-immune, since a mention arrives as a Bash call and the host reports the quoting program.	M-COV-053
M-COV-053	Hypothesis	proofs/Coverings.v:51-52	Variable tool_name : Text -> Program; Hypothesis mention_tool_name : forall c, tool_name (mention c) = quoting_program.	
M-COV-054	Theorem	proofs/Coverings.v:415-418	Theorem always_is_name_agnostic: the covering that reads no segment at all is name-agnostic; renaming changes nothing it could see.	
M-COV-055	Theorem	proofs/Coverings.v:423-431	Theorem disj_with_textual_not_mention_immune: a disjunction with a non-vacuous textual disjunct is not mention-immune -- the disjunct alone is already defeated by Theorem 1 and the disjunction fires whenever a disjunct does.	M-COV-014
M-COV-056	Inductive	proofs/Coverings.v:436	Inductive ReadsFrom := ReadsHostEnum | ReadsWorld | ReadsDatum. A Definition only: nothing in this file separates the three by proof.	
M-COV-057	Theorem	proofs/Coverings.v:442-446	Definition occasion_fires + Theorem unmeasured_occasion_fires: an unmeasured occasion (None) is treated as FIRED, not passed.	
M-COV-058	Theorem	proofs/Coverings.v:448-457	Definition guard_paid/licensed + Theorem unmeasured_guard_never_licenses: no trace with an unmeasured guard is ever licensed; the two fail directions are opposite by construction.	M-COV-057
